file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmaYvkvfkVaRyNAZChbbQp41zSvivpTMDHEedtwfJSMiLr_output.musicxml,262,2616,1461,2216,219,1252,130,86,15,6,56,80,66
QmaYyTqsmhixApamjGfsD1GWxaQF9aYnW4ZWevFrN3cifd_output.musicxml,347,11148,4679,10649,416,3240,224,208,50,32,262,206,237
QmaZ2WjqtjW5Zsyb5Re9D8RLgKAeCrKp4dDz85tgwdnNeR_output.musicxml,149,536,466,399,106,442,58,35,4,0,10,8,28
QmazrEhDr9fiDDQW9V9oUtYiA8Q7iTd9XhqJaj3CRitZhi_output.musicxml,200,7008,2902,6692,271,2175,133,125,28,7,18,12,117
Qmb2C9nFqt7mkmS17TZfDLr3eUKAQS6KHq78SZ3Fzg3ZjN_output.musicxml,130,2588,1311,2349,122,989,62,34,7,5,77,42,64
Qmb2CfVJG6Z9f6n9MgYU9Z8x54Ja31AkHHSV4fhLg6CYmC_output.musicxml,89,2176,1083,2095,113,720,53,47,10,2,25,14,49
Qmb2mufZ1rUQfuuA6h4YdQL7Zwvj6XG3KKzBdDPEwZEnA1_output.musicxml,107,2050,1006,1855,132,749,65,53,9,0,15,8,57
Qmb3B7aoDrcqxYuBLNcp78HQLbk4LwEdSHvP7BVCYeZtf8_output.musicxml,1601,14772,10460,11082,1290,7689,650,350,53,13,283,186,290
Qmb48oqKEz7B6qwDacBvMaTmZc2VhzHfazeCgLgx8kGXos_output.musicxml,68,348,264,252,57,317,24,10,4,0,3,12,8
Qmb5kizszjtpHeEbitLrSXej3YFAvAzzJEprDL42pK2KHz_output.musicxml,145,3228,1482,3164,166,1126,88,70,17,7,87,62,56
Qmb5vwsbWnq35nyrLBvp2twCNqK6ekVnEjMLPxxwZwM6tz_output.musicxml,69,1510,525,1511,66,347,38,35,8,2,13,28,24
Qmb627H6V3G8Naz7bXHASscqeFrXRdfB1GD61nEWsjLRPj_output.musicxml,219,3812,1697,3605,223,1222,111,82,11,3,119,74,96
Qmb6RaYzYLHsgyknLvHZB1KxzdjoQB6eKT6kv9daKni4on_output.musicxml,72,1088,529,1010,77,361,40,29,2,0,0,4,21
Qmb8vZeRdZy8nUttRoJVbhfxrtRU1eFJNXK988NQQZEkXH_output.musicxml,188,4504,1837,4378,213,1296,106,102,27,5,39,22,90
Qmb9CsPYcQ8z4rK23apJhW4aXj6gXcg5L9pHF7de1bQSmq_output.musicxml,85,1418,761,1379,98,492,48,34,8,2,25,8,41
Qmb9sCtXdW7cqfStJ8KYmcgDSPCmseb1wSU6jkJ7vENwz8_output.musicxml,502,7328,4324,6236,480,4503,237,171,32,0,121,0,134
QmbacxoTRws2Tu4aTUrw7Bc4n7yRZJkiUMZL5BbDaEMWCr_output.musicxml,170,2806,1356,2633,187,1000,87,59,20,9,93,44,73
QmbaDZRftARy7oEUH5feWtRbH1HfzKFVUyYrNYMh8R1euQ_output.musicxml,148,2160,1094,2037,143,758,81,60,13,6,48,34,58
QmbAG65A7eVnhQwSVq2Ha5vqfJf8o6Fht3rTkbyXnMD8Tw_output.musicxml,80,364,308,267,66,318,37,16,2,0,0,8,10
QmbAuCyB9n6N9jPhAmTrfxPSrS8jXd5QmWZP8jTghjBndQ_output.musicxml,89,1432,758,1366,100,486,51,38,10,2,13,10,28
QmbbNRWP3gr5ooxoEcNCNfyB7aBYw9k7CKBTD2Rvj4dp9k_output.musicxml,477,4256,2532,3197,407,2897,213,149,27,7,40,62,86
QmbbtWwxjcpSMXaa12aYRdTjPUuatSxzcgBVUihSeMN9oY_output.musicxml,149,814,556,624,113,483,69,44,11,2,0,4,22
QmbBvDTWE5w3Fd6BKMaKBAeb74ZhD5o9LUnBfUCbgsRVu4_output.musicxml,167,3508,1530,3262,178,1074,87,69,20,13,44,48,65
Qmbc2v4ShwZZUezg1heYWZdPSBgJeudGfqmLu9RxzkmmjD_output.musicxml,127,2302,1189,2210,154,837,75,65,18,8,5,4,30
QmbcfKsf9TczHCSWhzsmPsun535kBJdERFtiLo9Sr4jRgF_output.musicxml,172,3862,1623,3683,191,1296,96,72,15,9,83,34,53
QmbCzbwxMJvhtNmJeiPaWWzeFKGTdjnXTfg39iXXAb9Mt9_output.musicxml,149,2780,1371,2680,178,953,80,43,9,4,72,48,73
Qmbd6b2KtCRGsNxt6WtQpoftgvMEg2HmNvhJN1FiVuVwfd_output.musicxml,193,5244,2209,4994,230,1623,112,96,27,17,172,96,146
QmbDjdxR7zpLq7CL7pkvetmWqVvkJ4Kxxt7fQhhTvQFiv3_output.musicxml,164,2774,1396,2606,182,1044,84,61,11,6,73,28,79
QmbDMwNhnuNVsBri6B67TeEd453V4YAXNWW74xWz637JpX_output.musicxml,137,2566,1250,2417,148,684,86,72,19,10,86,60,85
QmbeDgHsspnPnvQRKVp1tPtN5TfogLam1ieD11QFH6hf54_output.musicxml,153,2626,1159,2441,150,996,79,45,9,7,57,36,47
QmbeMygTJjtBYf9gnqeLDHujzmo8cguaTQPB12B6BwuWYU_output.musicxml,122,2610,1153,2599,130,847,62,44,15,8,60,66,38
QmbeRQJ4594EB6bCE5amXkM1HK7t35v6tjS5hygngc8Mz9_output.musicxml,141,2562,1281,2481,175,893,92,90,16,0,30,12,66
QmbfBycngpQXCdMfn35mrrzDsr9d6okdu1pJRKVsFUCpzq_output.musicxml,1047,7538,4404,6641,825,3557,454,300,60,4,97,80,241
Qmbfda5RowJHgjva4RjA34oPiZ38G1EjEEgomygxKcqXKi_output.musicxml,1837,8638,6106,6254,1223,4604,734,400,68,43,442,312,418
QmbGCASrpJWhvqYzG2fieVX8VhnacadXyytHWZikxDFmHb_output.musicxml,161,3494,1652,3411,187,1152,90,74,16,4,126,72,94
QmbhGoj5uW5MEBVcorXfyiYrCdLXom9NekPA4Yr8ptSbGS_output.musicxml,209,472,426,460,114,301,75,35,4,1,68,50,18
QmbhizohiqErEgQ7KJ8e1Bd4a71teJwKtuF4kYqbn8tpx2_output.musicxml,222,4246,2153,4203,266,1442,128,103,24,11,145,66,114
QmbJKMWbaJZpXY8jXtVGbsveLpdkvQq12WDqawy1rtzc8Z_output.musicxml,1163,28268,12757,26324,1211,9133,690,563,128,54,541,454,560
QmbjksBXH1EpmG3fSpvaxzChQSZZeBgmYjTsuKGgm8r4D9_output.musicxml,224,4912,2167,4538,238,1759,123,94,28,18,125,56,123
QmbjY9khcCGismovcLZWRvjB5vtkMzFM3E8KWMN6GvaaAp_output.musicxml,96,330,238,217,70,219,38,12,3,0,5,0,20
Qmbk4FjS2nN9VVa3xdbNYikMVgGKRzirP99sYvuywHNzpX_output.musicxml,162,1274,875,779,91,300,57,38,9,3,58,38,45
QmbMoS1mQiQjc9jtsRoQ8gYkoncNYrA9NjmDgcAwNvWgRn_output.musicxml,111,1382,681,1342,94,650,60,39,12,5,13,16,15
QmbmTocR261qqcGB2iXVjhwBNfDFbt87adp79J83KH2Ebd_output.musicxml,552,17050,6633,16350,598,4905,309,250,76,36,300,214,271
QmbnBF12xJt2463SEzFZZqQBJ6JGVHqUrucqkjSNG8CTqx_output.musicxml,284,946,764,778,197,662,125,85,17,3,5,4,31
QmbNdPcaKrEAac2Mt5EpCftTSKLdBcU2EGPzNJZ9rVkND5_output.musicxml,1618,29082,14483,25968,1512,11768,780,531,135,40,505,406,565
QmbNkV7PL7ABaoZr61DvZF9rkCk3heH2aA7pGfpurBax75_output.musicxml,268,1778,1088,1494,196,847,109,50,19,3,25,28,55
QmbNwuBz2LhYThVLkQ2E97sxzjshqEnJyJ5cboccrcBW8b_output.musicxml,193,4880,2490,4781,218,1602,115,107,32,8,100,74,80
QmbofFUoYyv8Kgc157sMBCUrvVUZzpuhtak6HEtwMxknBv_output.musicxml,55,1012,491,1006,62,314,36,27,5,6,20,20,17
Qmbp6YyMaZ6yP3stUinL68N5JVG2rNc5H1DhiRxYi7aLPF_output.musicxml,885,27578,10927,26681,931,8074,517,392,102,31,293,274,390
QmbPa2q226SYeUS83Nr7smSgnCm5VccHrZr5ufoaYQdzLu_output.musicxml,170,3178,1641,3114,192,1061,106,100,23,2,18,4,64
QmbPhJHnnYF93cZ7ZFBJEG8QZc19snfNqbaAYJ842qnvVx_output.musicxml,86,1576,814,1544,96,527,54,40,6,3,35,30,38
QmbpzTsZPutSvN4HAggis23fEdKbbGQrWAL4WjkbXJYgpv_output.musicxml,88,912,478,797,74,439,42,20,4,0,0,10,16
QmbqGq2VVhRzXtnxU2HyjXPyaQszZhtDxXnMXDmPfX8tr1_output.musicxml,192,1108,671,983,125,483,79,46,11,0,5,0,30
QmbQobrJEBs4ejDtzbbveYRBYgJmczQxL4Fqp6U7SdJR2J_output.musicxml,72,1184,597,1164,79,376,45,38,5,1,15,16,28
QmbqPCBKpzG9PV4pha2TMEH9SNWWxSWmKMN8qZwnGqN8DA_output.musicxml,620,7166,3928,6018,569,3773,279,175,46,19,144,120,193
QmbQt5UHYMUgG5zymD5r5dnc9wngLGAehHMEwhTRcRE5Sw_output.musicxml,242,2714,1408,2490,228,1022,112,83,16,1,64,50,51
QmbqzVVkpfAdWegbVA43qqRn5oyE3pXkfuB4hyouZJhwQC_output.musicxml,103,306,260,219,70,241,42,21,2,0,10,0,15
QmbRkUaw2YNChdiWvCL4hbG334EgsJpWLrocNby2VYeiyD_output.musicxml,96,1568,790,1460,106,566,64,53,9,1,18,32,25
QmbrL3jn6ZcS1UY2L9iKuhzQ5ni15cVTAc3zrSgLX1WtMj_output.musicxml,147,1660,861,1458,138,637,68,54,14,1,15,4,46
QmbRYiXKhxbQBufoGCd4sz8NWTRSa5QzPg5JVnepvmDx7P_output.musicxml,70,786,329,742,59,262,37,35,6,3,5,6,13
QmbshRar1ZK4ZKJxMHLMaHuuSKVwsb9TUSy2evEdv4sMqM_output.musicxml,172,2352,1209,2188,165,1117,86,47,15,3,84,38,63
QmbSoYo7Ermc7sPyqUZaKyHctH1aHTS5w4ijD5tA2TwvYh_output.musicxml,144,3156,1459,2920,171,1095,78,78,14,3,89,62,73
QmbTmqfCUCawLTAWjQPbX8jEBNahdp2fdFvHo9Ft72EpKg_output.musicxml,112,2662,1201,2528,126,834,74,62,14,7,69,50,59
QmbtuGqsucaUzPoJR7nfQL9EfBeM6PeJ27wQbncbgoHH84_output.musicxml,100,3196,965,3382,104,605,61,50,17,7,38,44,67
QmbTZBHrR2dB94np83vnxbEQBbCcw7tzDPxzdk9C2AYS2u_output.musicxml,266,4392,1859,4270,251,1475,125,64,19,8,110,70,101
Qmbu31rSDnwndReghPNC2EBocGeKXZP1qZchns1zp8Xnbh_output.musicxml,738,16184,7871,13961,801,7187,374,240,56,7,78,72,280
QmbUaLd2GQTqw5og7j6HcadYEhbaJ7j4NKcvo41AKo2XP1_output.musicxml,81,1350,676,1259,89,435,49,32,9,0,20,16,34
QmbuFonxnNBE768HzYfm6KQcgmvcaS2cM5qyaDSYPEUZmL_output.musicxml,114,2282,1045,2269,126,720,67,70,21,0,10,16,50
QmbUSMpkRGgcdh2yvevdvTNeQvq6yuRtCydx5Tzrtvz6Ba_output.musicxml,170,3790,1867,3648,217,1200,114,88,19,11,141,106,126
