file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmaRVU6xvvUshPVRWDojuiKVKxqboTrVtNRWNi4zKDBGT3_output.musicxml,32,12,11,8,4,7,16,11,2,0,0,0,1
QmatiQyue1Ycr8oAd3ANDPAgSEF1YXZ6gK9JLs1JFtTsnZ_output.musicxml,193,574,309,438,130,380,153,121,6,0,71,16,47
QmatmaGXSnw2sUwAsHZ8u9Ui36cmShtYgDAtnuebHCpuRE_output.musicxml,106,490,254,412,91,281,88,79,7,0,68,8,48
QmatTdS42gnk99tshFc2b9WKgZwM6xpvgrPS1ZMSM6Aq76_output.musicxml,67,258,128,142,64,157,58,54,3,0,30,8,28
QmaU7tPbS2kpQrDKeJSYrVxVQ6o3e5huoVCzVAcuz9QRyv_output.musicxml,193,498,288,365,130,353,142,129,6,0,68,20,24
QmaUbpvbxx2ibbjPm4KpuyDGBaVL9CrANjbVgj4hij1pz5_output.musicxml,172,566,415,720,113,360,147,151,6,0,156,80,47
QmaUEXyngr2Mgo6bSpMpj9Dd4JYXnB6ieACMehTtHqYPMK_output.musicxml,105,28,36,37,16,37,29,20,6,3,21,10,1
QmauRnCeMPn1v8pAp3oeFEswxiChrQmYYfVX2QHBC45JRZ_output.musicxml,242,92,111,134,67,151,65,34,2,3,55,16,2
Qmaurw2qunCtQQ5Yrxw1ye3zdZEDX2LJq2wyC6yiaXChg9_output.musicxml,210,982,466,741,196,531,124,115,10,0,150,4,88
QmauUVtm9pNrKFABU56qfSDwMZuzhtaqmTvBCuun8PcFBF_output.musicxml,170,688,410,449,126,384,110,82,9,1,30,26,34
QmaVcZykfUKBTQc9CsJk7ywKbq24nkYvLm65X7enktzgzv_output.musicxml,160,620,431,384,79,291,67,42,8,0,10,6,23
QmaVYapiM1tN7JFBr7BX5ShXs9WRoPESgv2WXLZZn9zYCG_output.musicxml,137,480,275,350,128,273,94,79,0,2,210,102,51
QmaW1jb8SiKfW2zGQzuipGLgJ1dbQuoZRVJr2akrXL6SWs_output.musicxml,105,372,224,240,101,226,78,67,2,0,61,14,46
QmaWc1pDZTDx8vGcZwSRGtnR2oEBUd95gZxPPKYbyRBh59_output.musicxml,613,1772,1159,1363,357,1594,207,66,11,7,202,176,66
QmaWK4xLCU9FsWgmaVGQZKWxFocuFfz7i7cz2WGWwp4nix_output.musicxml,182,680,365,517,167,490,164,158,10,1,10,4,31
QmawtQNvDFRu8ge6BiYVujV4rZ8RSKgB6woM14LQ8HGr5i_output.musicxml,19,44,32,22,8,32,6,5,3,0,0,0,1
QmaXcoQS1aPNZPck566zrwuf4s14hYN7jmneEfoPx5jdM4_output.musicxml,170,616,307,438,164,398,150,140,7,2,30,0,35
QmaxwvdCXek9PozpVFpAak8GB2j9YQVnkxLWpgzjsBXXjN_output.musicxml,106,572,278,443,115,318,81,73,1,1,118,116,55
QmayHBekMPstLVpBj6zMhXF2oP7panKqh6VNXHFAHsUGUY_output.musicxml,171,1150,550,1110,177,496,128,135,7,2,221,130,75
QmaYvkvfkVaRyNAZChbbQp41zSvivpTMDHEedtwfJSMiLr_output.musicxml,262,956,522,678,162,679,123,80,14,4,64,64,36
QmaYyTqsmhixApamjGfsD1GWxaQF9aYnW4ZWevFrN3cifd_output.musicxml,347,2510,1243,2257,363,1094,282,279,25,4,515,354,238
QmaZ2WjqtjW5Zsyb5Re9D8RLgKAeCrKp4dDz85tgwdnNeR_output.musicxml,149,66,84,55,35,114,41,27,4,0,0,20,4
QmazrEhDr9fiDDQW9V9oUtYiA8Q7iTd9XhqJaj3CRitZhi_output.musicxml,200,2422,1117,2347,250,962,178,176,16,4,36,12,107
Qmb2C9nFqt7mkmS17TZfDLr3eUKAQS6KHq78SZ3Fzg3ZjN_output.musicxml,130,1004,543,820,116,542,67,43,6,3,102,56,28
Qmb2CfVJG6Z9f6n9MgYU9Z8x54Ja31AkHHSV4fhLg6CYmC_output.musicxml,89,628,314,476,102,307,79,79,5,0,35,26,35
Qmb2mufZ1rUQfuuA6h4YdQL7Zwvj6XG3KKzBdDPEwZEnA1_output.musicxml,107,612,318,439,115,310,93,91,9,0,5,20,34
Qmb3B7aoDrcqxYuBLNcp78HQLbk4LwEdSHvP7BVCYeZtf8_output.musicxml,1601,7550,5766,5909,735,3941,595,396,62,8,134,174,26
Qmb48oqKEz7B6qwDacBvMaTmZc2VhzHfazeCgLgx8kGXos_output.musicxml,68,104,100,79,43,147,25,3,2,2,10,0,9
Qmb5kizszjtpHeEbitLrSXej3YFAvAzzJEprDL42pK2KHz_output.musicxml,145,790,403,639,156,460,115,109,3,2,213,114,58
Qmb5vwsbWnq35nyrLBvp2twCNqK6ekVnEjMLPxxwZwM6tz_output.musicxml,69,782,257,813,49,186,38,31,6,1,49,32,38
Qmb627H6V3G8Naz7bXHASscqeFrXRdfB1GD61nEWsjLRPj_output.musicxml,219,1110,589,1071,145,507,126,98,14,7,171,94,61
Qmb6RaYzYLHsgyknLvHZB1KxzdjoQB6eKT6kv9daKni4on_output.musicxml,72,246,117,176,43,122,47,34,2,0,5,0,11
Qmb8vZeRdZy8nUttRoJVbhfxrtRU1eFJNXK988NQQZEkXH_output.musicxml,188,1076,541,1170,131,493,139,136,11,2,79,22,81
Qmb9CsPYcQ8z4rK23apJhW4aXj6gXcg5L9pHF7de1bQSmq_output.musicxml,85,362,209,243,81,220,61,52,3,0,15,4,21
Qmb9sCtXdW7cqfStJ8KYmcgDSPCmseb1wSU6jkJ7vENwz8_output.musicxml,502,3688,2620,2957,411,3170,203,116,19,0,200,0,173
QmbacxoTRws2Tu4aTUrw7Bc4n7yRZJkiUMZL5BbDaEMWCr_output.musicxml,170,602,295,502,106,366,103,91,5,1,233,56,16
QmbaDZRftARy7oEUH5feWtRbH1HfzKFVUyYrNYMh8R1euQ_output.musicxml,148,580,290,357,119,323,82,77,8,0,109,8,73
QmbAG65A7eVnhQwSVq2Ha5vqfJf8o6Fht3rTkbyXnMD8Tw_output.musicxml,80,50,52,58,26,39,29,6,1,0,0,12,0
QmbAuCyB9n6N9jPhAmTrfxPSrS8jXd5QmWZP8jTghjBndQ_output.musicxml,89,306,168,229,92,181,61,53,1,0,50,6,39
QmbbNRWP3gr5ooxoEcNCNfyB7aBYw9k7CKBTD2Rvj4dp9k_output.musicxml,477,1370,724,901,285,1078,188,176,35,1,96,64,36
QmbbtWwxjcpSMXaa12aYRdTjPUuatSxzcgBVUihSeMN9oY_output.musicxml,149,46,57,56,49,142,48,39,11,0,0,0,6
QmbBvDTWE5w3Fd6BKMaKBAeb74ZhD5o9LUnBfUCbgsRVu4_output.musicxml,167,1134,560,976,148,559,117,104,8,3,155,22,92
Qmbc2v4ShwZZUezg1heYWZdPSBgJeudGfqmLu9RxzkmmjD_output.musicxml,127,464,275,322,118,323,97,94,7,2,50,0,56
QmbcfKsf9TczHCSWhzsmPsun535kBJdERFtiLo9Sr4jRgF_output.musicxml,172,1116,569,1016,166,596,106,91,11,1,187,78,57
QmbCzbwxMJvhtNmJeiPaWWzeFKGTdjnXTfg39iXXAb9Mt9_output.musicxml,149,464,256,389,123,285,109,98,6,1,163,52,57
Qmbd6b2KtCRGsNxt6WtQpoftgvMEg2HmNvhJN1FiVuVwfd_output.musicxml,193,1682,834,1598,170,676,137,123,8,3,207,166,64
QmbDjdxR7zpLq7CL7pkvetmWqVvkJ4Kxxt7fQhhTvQFiv3_output.musicxml,164,718,365,479,140,402,111,100,11,7,81,62,40
QmbDMwNhnuNVsBri6B67TeEd453V4YAXNWW74xWz637JpX_output.musicxml,137,426,303,443,80,182,75,103,6,1,90,42,42
QmbeDgHsspnPnvQRKVp1tPtN5TfogLam1ieD11QFH6hf54_output.musicxml,153,1020,514,866,116,535,91,79,9,2,123,40,37
QmbeMygTJjtBYf9gnqeLDHujzmo8cguaTQPB12B6BwuWYU_output.musicxml,122,522,299,494,105,333,82,80,15,9,189,92,40
QmbeRQJ4594EB6bCE5amXkM1HK7t35v6tjS5hygngc8Mz9_output.musicxml,141,400,237,279,111,282,108,105,7,0,20,4,28
QmbfBycngpQXCdMfn35mrrzDsr9d6okdu1pJRKVsFUCpzq_output.musicxml,1047,1638,1039,1542,486,1219,360,271,71,4,47,46,119
Qmbfda5RowJHgjva4RjA34oPiZ38G1EjEEgomygxKcqXKi_output.musicxml,1837,2816,2246,2125,546,1781,538,320,115,41,260,248,62
QmbGCASrpJWhvqYzG2fieVX8VhnacadXyytHWZikxDFmHb_output.musicxml,161,664,373,561,155,428,119,111,5,3,150,140,52
QmbhGoj5uW5MEBVcorXfyiYrCdLXom9NekPA4Yr8ptSbGS_output.musicxml,209,32,54,61,51,84,74,72,24,2,52,4,4
QmbhizohiqErEgQ7KJ8e1Bd4a71teJwKtuF4kYqbn8tpx2_output.musicxml,222,600,356,527,153,436,151,139,9,6,158,74,27
QmbJKMWbaJZpXY8jXtVGbsveLpdkvQq12WDqawy1rtzc8Z_output.musicxml,1163,12790,6465,11453,1121,5612,807,705,86,35,621,460,466
QmbjksBXH1EpmG3fSpvaxzChQSZZeBgmYjTsuKGgm8r4D9_output.musicxml,224,1160,584,1130,193,687,173,168,5,2,192,186,85
QmbjY9khcCGismovcLZWRvjB5vtkMzFM3E8KWMN6GvaaAp_output.musicxml,96,18,24,26,26,57,25,15,5,1,0,0,6
Qmbk4FjS2nN9VVa3xdbNYikMVgGKRzirP99sYvuywHNzpX_output.musicxml,162,1052,735,660,55,184,58,29,6,4,17,32,9
QmbMoS1mQiQjc9jtsRoQ8gYkoncNYrA9NjmDgcAwNvWgRn_output.musicxml,111,812,276,814,58,300,44,19,3,1,3,16,13
QmbmTocR261qqcGB2iXVjhwBNfDFbt87adp79J83KH2Ebd_output.musicxml,552,8740,3340,8663,529,2676,378,360,63,16,431,280,345
QmbnBF12xJt2463SEzFZZqQBJ6JGVHqUrucqkjSNG8CTqx_output.musicxml,284,120,107,132,73,202,106,85,12,3,0,0,12
QmbNdPcaKrEAac2Mt5EpCftTSKLdBcU2EGPzNJZ9rVkND5_output.musicxml,1618,16480,9192,14871,1440,7862,784,591,66,29,631,410,579
QmbNkV7PL7ABaoZr61DvZF9rkCk3heH2aA7pGfpurBax75_output.musicxml,268,284,201,276,96,273,117,99,24,6,5,46,4
QmbNwuBz2LhYThVLkQ2E97sxzjshqEnJyJ5cboccrcBW8b_output.musicxml,193,1296,717,1008,208,642,131,128,4,0,205,66,54
QmbofFUoYyv8Kgc157sMBCUrvVUZzpuhtak6HEtwMxknBv_output.musicxml,55,196,105,142,46,106,31,41,3,0,89,30,21
Qmbp6YyMaZ6yP3stUinL68N5JVG2rNc5H1DhiRxYi7aLPF_output.musicxml,885,16828,6773,16478,953,5051,549,478,46,25,382,370,472
QmbPa2q226SYeUS83Nr7smSgnCm5VccHrZr5ufoaYQdzLu_output.musicxml,170,604,331,439,139,404,145,144,11,0,30,8,28
QmbPhJHnnYF93cZ7ZFBJEG8QZc19snfNqbaAYJ842qnvVx_output.musicxml,86,254,159,161,84,158,53,49,3,0,80,24,44
QmbpzTsZPutSvN4HAggis23fEdKbbGQrWAL4WjkbXJYgpv_output.musicxml,88,332,203,244,58,206,42,29,2,0,20,2,23
QmbqGq2VVhRzXtnxU2HyjXPyaQszZhtDxXnMXDmPfX8tr1_output.musicxml,192,96,91,108,69,138,75,66,18,0,0,0,20
QmbQobrJEBs4ejDtzbbveYRBYgJmczQxL4Fqp6U7SdJR2J_output.musicxml,72,188,118,117,37,79,53,41,2,0,25,8,7
QmbqPCBKpzG9PV4pha2TMEH9SNWWxSWmKMN8qZwnGqN8DA_output.musicxml,620,2242,1388,1966,456,1888,258,175,21,9,205,168,97
QmbQt5UHYMUgG5zymD5r5dnc9wngLGAehHMEwhTRcRE5Sw_output.musicxml,242,404,322,351,115,286,120,93,5,0,94,56,17
