file,totalNotes,rule_1,rule_2,rule_3,rule_4,rule_5,rule_6,rule_7,rule_8,rule_9,rule_10,rule_11,rule_12
QmdghQhjX8nCEUFxViDMEdsUdFF1zfp2ZBZgv5jZ2ewZWg_output.musicxml,117,66,69,77,30,89,39,18,3,0,15,20,5
QmdGurS2pyYH9V3uYz28ErcAPJoqsLUL7A5zqPFeobENSw_output.musicxml,108,114,159,261,50,124,71,71,1,1,33,10,24
QmdGx4WMzeV3NoqBa1doCMLHSzEcVpM7yxfJscYB7Udz3y_output.musicxml,98,178,162,192,59,201,40,26,3,2,39,20,33
QmdJFNWySAa6Th7Src3ZEVnfHmXbvenc1WijqrknMrbuRN_output.musicxml,125,188,165,346,63,147,94,85,4,1,131,52,9
QmdjrV9iHemT9tJJaoPChuVvkvnu92XMTeMHZ8rZvT3jVJ_output.musicxml,168,232,206,310,98,200,90,65,5,1,18,0,26
QmdNNCXMdX1tUDXKzuKCVFQEJMAZjNWRmxStgLgwMmy3uh_output.musicxml,170,280,206,344,96,220,116,108,9,2,235,62,49
QmdqnSFR6oSXpRuX2tsQZzhyBoAHy2cbE5duXxu3QkAXLc_output.musicxml,90,188,122,199,53,129,46,39,4,3,95,36,27
QmdR2rFy6U98b9PMhxGG5eti7hJWuz4smU7ZdMJra9V2A5_output.musicxml,121,44,28,46,18,30,28,9,3,2,3,6,8
QmdrVZUULpogWzEQJdswuH3UBacKdKmJNSdENY75rjVJ7v_output.musicxml,355,222,215,285,125,392,99,64,18,1,10,0,66
QmdTcCdcUh25XJhNonSBZXGVtBw6NAjC9fFqJxCvWeLbVF_output.musicxml,57,362,151,363,52,150,38,28,6,2,48,20,43
QmdTpvnfF5oU9DLHLnuTmFRFMgvdJ7sH4XV3BnkaZFXwPV_output.musicxml,80,80,59,63,29,72,28,27,3,0,41,18,15
QmdWt6RUZZFrQBWQ72WFq1ZebxBfwj1uppBhM64Wz6pcWs_output.musicxml,146,270,209,362,113,233,91,77,5,2,156,70,47
